序号,rms,flux_normalized,dominant_bins,centroid,low_high_ratio,peak_count,,,,,,,,,,,,,
1,116.63,1.56,11,1875.2,1.08,5,,,,,,,,,,,,,
2,197.88,49.97,68,2833.4,0.35,27,,,,,,,,,,,,,
3,315.03,8.24,283,3268.8,0.15,100,,,,,,,,,,,,,
4,173.31,3.26,106,2887.7,0.37,57,,,,,,,,,,,,,
5,126.85,2.86,83,2817.5,0.38,34,,,,,,,,,,,,,
6,152.51,1.41,14,1785.5,1.28,3,,,,,,,,,,,,,
7,146.48,0.85,20,2347.5,0.85,4,,,,,,,,,,,,,
8,106.7,2.55,58,2909.7,0.49,23,,,,,,,,,,,,,
9,110.91,1.4,15,2137.5,1.01,4,,,,,,,,,,,,,
10,109.58,1.69,18,1444.2,1.85,5,,,,,,,,,,,,,
11,91.48,0.39,23,1382.2,1.64,11,,,,,,,,,,,,,
12,83.26,1.15,34,1381.9,1.33,14,,,,,,,,,,,,,
13,221.26,6.66,16,1691.1,1.06,4,,,,,,,,,,,,,
14,128.85,2.48,28,1691.5,0.85,11,,,,,,,,,,,,,
15,284.69,7.33,21,1365.7,1.51,6,,,,,,,,,,,,,
16,292.34,9.61,24,1329.5,1.64,8,,,,,,,,,,,,,
17,315.94,8.2,26,1315.4,1.66,8,,,,,,,,,,,,,
18,284.23,6.74,16,1506.8,1.27,8,,,,,,,,,,,,,
19,408.93,6.25,19,1358.6,1.56,7,,,,,,,,,,,,,
20,448.29,22.08,13,1531.8,1.51,5,,,,,,,,,,,,,
21,512.47,11.21,14,1585.2,1.27,6,,,,,,,,,,,,,
22,354.04,13.68,22,1635.2,1.4,9,,,,,,,,,,,,,
23,296.92,16.29,40,2351.1,0.65,19,,,,,,,,,,,,,
24,263.15,6.48,40,2406.8,0.49,13,,,,,,,,,,,,,
25,281.9,4.22,18,1982.7,0.93,5,,,,,,,,,,,,,
26,253.54,11.96,31,1249.3,1.42,12,,,,,,,,,,,,,
27,335.15,4.82,15,1117.1,1.11,5,,,,,,,,,,,,,
28,310.36,3.06,23,1064,1.49,9,,,,,,,,,,,,,
29,196.6,10.29,20,1227.1,1.48,12,,,,,,,,,,,,,
30,420.64,21.21,79,2770.8,0.26,42,,,,,,,,,,,,,
31,316.56,25.84,31,2684.1,0.42,7,,,,,,,,,,,,,
32,726.27,91.62,118,3319.2,0.13,55,,,,,,,,,,,,,
33,271.93,10.79,33,3398.3,0.32,13,,,,,,,,,,,,,
34,744.61,109.68,224,3105,0.11,92,,,,,,,,,,,,,
35,216.79,22.78,10,2070.5,0.94,4,,,,,,,,,,,,,
36,183.65,3.14,33,1996,0.9,13,,,,,,,,,,,,,
37,134.09,8.05,24,2198.4,0.93,6,,,,,,,,,,,,,
38,234.63,6.52,18,1834.5,1.3,6,,,,,,,,,,,,,
39,266.44,14.61,16,1994.9,1.04,4,,,,,,,,,,,,,
40,291.17,4.97,12,2250.4,0.89,4,,,,,,,,,,,,,
41,246.7,5.23,30,2256.2,0.76,13,,,,,,,,,,,,,
42,195.44,22.71,13,1932.7,0.86,5,,,,,,,,,,,,,
43,254.63,6.25,13,2305.4,0.87,3,,,,,,,,,,,,,
44,310.3,16.81,22,1243.5,1.17,11,,,,,,,,,,,,,
45,299.79,10.17,9,2373.6,0.93,6,,,,,,,,,,,,,
46,670.81,90.82,205,3865.4,0.2,63,,,,,,,,,,,,,
47,290.97,7.93,28,2341.4,0.63,11,,,,,,,,,,,,,
48,300.07,5.7,14,2337.2,0.75,5,,,,,,,,,,,,,
49,368.01,16.17,27,1630.7,1.49,15,,,,,,,,,,,,,
50,458.41,37.85,33,2175.4,0.83,11,,,,,,,,,,,,,
51,352.77,8.58,42,2429.9,0.68,18,,,,,,,,,,,,,
52,352.73,17.61,13,2453.8,0.76,4,,,,,,,,,,,,,
53,621.67,69.67,29,1588.2,1.48,18,,,,,,,,,,,,,
54,510.9,31.09,33,2070.4,1.02,17,,,,,,,,,,,,,
55,563.32,36.19,41,2345.2,0.84,14,,,,,,,,,,,,,
56,545.74,56.38,18,1993.6,1.19,11,,,,,,,,,,,,,
57,652.07,61.48,31,1404.3,0.75,13,,,,,,,,,,,,,
58,541.14,56.25,29,1203.2,1.25,12,,,,,,,,,,,,,
59,444.94,25.85,35,1607.8,0.99,17,,,,,,,,,,,,,
60,387.23,40.68,47,2556,0.39,18,,,,,,,,,,,,,
61,378.67,20.99,20,2365.6,0.65,8,,,,,,,,,,,,,
62,333.72,22.82,38,2209.2,0.61,10,,,,,,,,,,,,,
63,390.96,21.28,10,2049.6,1.11,4,,,,,,,,,,,,,
64,363.25,31.18,11,2425.1,0.75,4,,,,,,,,,,,,,
65,323.56,9.89,18,2082.8,0.97,5,,,,,,,,,,,,,
66,408.46,22.41,11,2235.1,1.01,6,,,,,,,,,,,,,
67,309.25,25.03,26,2441.5,0.84,7,,,,,,,,,,,,,
68,419.29,26.85,14,1796.1,1.35,5,,,,,,,,,,,,,
69,633.04,43.87,27,1277.8,0.96,16,,,,,,,,,,,,,
70,709.06,47.31,27,1342.4,0.82,14,,,,,,,,,,,,,
71,594.39,46.73,36,1364.7,0.91,18,,,,,,,,,,,,,
72,638.75,28.87,21,1180.5,2.2,7,,,,,,,,,,,,,
73,632.51,26.11,14,1066,2.8,8,,,,,,,,,,,,,
74,596.61,26.94,34,770.4,1.96,13,,,,,,,,,,,,,
75,715.28,44.79,25,1359.6,1.27,10,,,,,,,,,,,,,
76,365.31,11.99,19,2033.7,0.99,7,,,,,,,,,,,,,
77,403.73,19.08,12,2396.2,0.84,5,,,,,,,,,,,,,
78,263.7,4.18,26,2243.5,0.75,7,,,,,,,,,,,,,
79,364.39,12.32,36,2791.7,0.46,16,,,,,,,,,,,,,
80,139.92,20.33,40,1977.3,0.92,13,,,,,,,,,,,,,
81,342.5,29.94,61,2844.2,0.43,24,,,,,,,,,,,,,
82,273.04,9.06,51,2885.8,0.41,22,,,,,,,,,,,,,
83,269.13,3.02,23,1259.2,1.87,15,,,,,,,,,,,,,
84,148.01,4.76,31,2023.2,1.18,12,,,,,,,,,,,,,
