序号,rms,flux_normalized,dominant_bins,centroid,low_high_ratio,peak_count,,,,,,,,,,,,,
1,87.72,1.51,69,1267.4,1.2,32,,,,,,,,,,,,,
2,120.38,2.22,83,1317.5,1.14,31,,,,,,,,,,,,,
3,188.28,4.56,56,1256.4,1.06,28,,,,,,,,,,,,,
4,102.68,2.49,69,1426.8,0.84,29,,,,,,,,,,,,,
5,132.93,3.96,51,1433.6,1.01,25,,,,,,,,,,,,,
6,108.79,2.33,67,1495.9,0.94,31,,,,,,,,,,,,,
7,149.68,4.09,64,1356.9,0.78,33,,,,,,,,,,,,,
8,52.71,1.94,33,1866.8,1.05,13,,,,,,,,,,,,,
9,91.19,1.69,21,1662.7,1.43,5,,,,,,,,,,,,,
10,118.36,5.55,63,949.1,1.59,24,,,,,,,,,,,,,
11,161.64,4.54,121,2878.7,0.34,50,,,,,,,,,,,,,
12,115.48,2.85,50,1393.7,1.56,22,,,,,,,,,,,,,
13,126.52,6.8,37,1519.4,1.34,12,,,,,,,,,,,,,
14,160.06,6.16,76,1161.9,1.3,37,,,,,,,,,,,,,
15,68.77,0.56,61,1448,1.12,35,,,,,,,,,,,,,
16,82.05,0.78,66,1614.3,0.88,28,,,,,,,,,,,,,
17,104.06,1.24,79,1862.8,0.56,40,,,,,,,,,,,,,
18,77.77,0.81,50,1751.4,0.79,20,,,,,,,,,,,,,
19,102.39,4.57,73,1707.7,0.82,36,,,,,,,,,,,,,
20,66.45,1.46,105,2230.8,0.44,40,,,,,,,,,,,,,
21,79.25,0.76,80,2246.9,0.48,31,,,,,,,,,,,,,
22,104.17,1.1,93,2321.3,0.36,39,,,,,,,,,,,,,
23,93.44,1.28,111,2188.7,0.5,51,,,,,,,,,,,,,
24,105.2,1.36,106,2113.2,0.53,42,,,,,,,,,,,,,
25,128.29,1.67,57,2153.1,0.52,27,,,,,,,,,,,,,
26,111.96,2.31,60,2010,0.58,26,,,,,,,,,,,,,
27,98.33,1.12,47,1856.5,0.86,21,,,,,,,,,,,,,
28,74.17,1.18,70,1391.6,1.53,26,,,,,,,,,,,,,
29,109.53,1.9,50,1706.2,0.94,18,,,,,,,,,,,,,
30,165.87,2.31,54,1706.8,0.81,24,,,,,,,,,,,,,
31,119.45,2.03,98,2090.1,0.53,42,,,,,,,,,,,,,
32,154.12,3.4,39,1822.3,0.67,13,,,,,,,,,,,,,
33,216.15,4.65,33,1402.7,1.36,14,,,,,,,,,,,,,
34,160.74,4.97,99,1644.6,0.86,41,,,,,,,,,,,,,
35,211.62,5.9,81,1598.2,0.71,35,,,,,,,,,,,,,
36,210.42,6.77,61,1478.2,0.84,30,,,,,,,,,,,,,
37,202.49,7.49,69,1410.5,1.06,29,,,,,,,,,,,,,
38,177.09,5.28,83,1692.3,0.77,41,,,,,,,,,,,,,
39,158.76,5.99,86,1312.2,0.93,36,,,,,,,,,,,,,
40,149.72,2.91,72,1216,1.21,32,,,,,,,,,,,,,
41,165.82,4.37,66,1111.1,1.54,36,,,,,,,,,,,,,
42,94.99,4.26,32,998.3,1.56,16,,,,,,,,,,,,,
43,66.56,1.06,38,1230.9,1.58,18,,,,,,,,,,,,,
44,108.05,1.7,74,1254.2,1.1,35,,,,,,,,,,,,,
45,109.07,1.36,74,1339.8,0.97,31,,,,,,,,,,,,,
46,120.17,1.68,80,1259,1.2,41,,,,,,,,,,,,,
47,77.36,1.33,43,1470.9,1.2,17,,,,,,,,,,,,,
48,216.01,6.66,58,1140.6,1.7,22,,,,,,,,,,,,,
49,192.07,6.35,54,1286.4,0.97,32,,,,,,,,,,,,,
50,133.56,5.07,64,1175.1,0.78,27,,,,,,,,,,,,,
51,159.18,4.21,64,2007.2,0.71,34,,,,,,,,,,,,,
52,198.64,10.44,35,985,1.51,18,,,,,,,,,,,,,
53,167.78,7.21,60,2640.5,0.49,21,,,,,,,,,,,,,
54,157.93,2.68,39,1128.5,1.42,19,,,,,,,,,,,,,
55,279.93,14.12,131,2537.6,0.3,31,,,,,,,,,,,,,
56,113.18,5.52,64,3145.1,0.45,29,,,,,,,,,,,,,
57,99.98,1.59,53,2871.2,0.41,25,,,,,,,,,,,,,
58,239.66,8.1,46,1969.4,0.48,21,,,,,,,,,,,,,
59,82.62,2.5,73,1394,0.93,30,,,,,,,,,,,,,
60,55.01,0.22,35,1500,1.13,14,,,,,,,,,,,,,
61,78.99,0.7,25,1579.5,0.91,14,,,,,,,,,,,,,
62,61.47,2.04,65,1604.4,0.95,33,,,,,,,,,,,,,
63,203.51,5.16,26,1509.8,1.34,15,,,,,,,,,,,,,
64,118.76,6.95,83,1732,0.88,39,,,,,,,,,,,,,
65,98.15,1.41,50,1750.1,0.76,17,,,,,,,,,,,,,
66,195.67,4.53,48,1784.9,0.7,22,,,,,,,,,,,,,
67,180.03,5.32,89,1696.4,0.75,38,,,,,,,,,,,,,
68,175.05,3.98,91,1560.4,0.67,36,,,,,,,,,,,,,
69,288.1,13.37,55,1335.1,1.04,26,,,,,,,,,,,,,
70,227.36,4.02,55,1215.8,1.14,27,,,,,,,,,,,,,
71,114.68,4.17,88,1401,0.97,43,,,,,,,,,,,,,
72,86.44,0.79,86,1519.7,0.92,42,,,,,,,,,,,,,
73,120.57,1.88,40,1352.6,1.08,17,,,,,,,,,,,,,
74,135.04,3.16,53,1163.4,1.31,24,,,,,,,,,,,,,
75,81.68,1.52,84,1337.1,1.19,34,,,,,,,,,,,,,
76,91.23,1.68,76,1196.5,1.37,36,,,,,,,,,,,,,
77,115.22,1.35,76,1015.7,1.61,34,,,,,,,,,,,,,
78,111.85,2.39,74,1380.3,0.98,34,,,,,,,,,,,,,
79,78.48,1.17,74,1177.4,1.64,33,,,,,,,,,,,,,
80,125.72,2.12,61,1010.3,1.68,25,,,,,,,,,,,,,
81,59.03,2.91,61,1561.1,1.09,26,,,,,,,,,,,,,
82,74.25,0.75,27,2259.6,0.72,14,,,,,,,,,,,,,
83,257.94,12.45,31,1554.1,0.74,14,,,,,,,,,,,,,
84,83.29,4.38,61,1244.9,1.33,28,,,,,,,,,,,,,
85,59.77,0.62,56,1517.4,0.91,26,,,,,,,,,,,,,
86,73.03,0.38,54,1281.5,1.39,24,,,,,,,,,,,,,
87,61.87,0.68,39,1583.4,1.07,14,,,,,,,,,,,,,
88,88.99,1.07,29,1226.8,2.07,12,,,,,,,,,,,,,
89,209.39,7.81,42,1255.1,1.01,22,,,,,,,,,,,,,
90,181.23,6.13,53,1291.1,0.91,23,,,,,,,,,,,,,
91,101.36,3.86,47,1203.4,0.97,20,,,,,,,,,,,,,
92,84.67,1.92,72,1538.7,0.98,33,,,,,,,,,,,,,
93,127.23,1.98,54,979.1,1.96,22,,,,,,,,,,,,,
94,146.34,3.25,60,1008.7,1.85,21,,,,,,,,,,,,,
95,80.66,1.1,87,2327.1,0.3,38,,,,,,,,,,,,,
96,325.4,10.56,55,2049.4,0.3,19,,,,,,,,,,,,,
97,96.68,6.63,47,1381.2,1.29,22,,,,,,,,,,,,,
98,77.43,1.11,78,1696.8,0.8,35,,,,,,,,,,,,,
99,158.27,3.43,64,1221.1,0.88,29,,,,,,,,,,,,,
100,154.02,2.84,69,1355.4,1.06,26,,,,,,,,,,,,,
101,135.62,3.33,35,1740,0.83,17,,,,,,,,,,,,,
102,150.47,3.94,64,1849.1,0.82,29,,,,,,,,,,,,,
103,147.35,3.23,77,2044.2,0.54,31,,,,,,,,,,,,,
104,127.82,2.37,77,2074.1,0.74,26,,,,,,,,,,,,,
105,129.51,3.36,42,2155.1,0.75,20,,,,,,,,,,,,,
106,127.24,10.06,45,1486.2,1.69,21,,,,,,,,,,,,,
107,124.69,2.73,131,1830.1,0.81,57,,,,,,,,,,,,,
108,67.11,0.51,38,1420.1,1.32,16,,,,,,,,,,,,,
109,63.43,0.44,31,1749.4,1.12,10,,,,,,,,,,,,,
110,52.5,0.75,100,2350.6,0.42,44,,,,,,,,,,,,,
111,53.21,0.34,69,2527.6,0.44,29,,,,,,,,,,,,,
112,118.76,1.56,34,1928.5,0.82,12,,,,,,,,,,,,,
113,107.15,1.26,35,1886,0.81,11,,,,,,,,,,,,,
114,65.14,0.8,48,1753.9,0.85,25,,,,,,,,,,,,,
115,76.78,0.65,40,1606.7,1.02,17,,,,,,,,,,,,,
116,74.17,0.36,69,1463.4,0.99,30,,,,,,,,,,,,,
117,182.23,3.71,25,1484.5,1.23,8,,,,,,,,,,,,,
118,163.84,3.01,69,1484.5,1.01,34,,,,,,,,,,,,,
119,170.1,5.39,62,1485.7,1.02,26,,,,,,,,,,,,,
120,161.08,3.55,84,1468.3,0.81,36,,,,,,,,,,,,,
121,107.86,3.68,68,1151,1.56,35,,,,,,,,,,,,,
122,68.83,0.47,94,2482.7,0.54,32,,,,,,,,,,,,,
123,84.07,0.91,99,2767.8,0.5,36,,,,,,,,,,,,,
124,179.26,7.11,96,2360.1,0.44,43,,,,,,,,,,,,,
125,87.81,1.52,61,1279.6,1.38,33,,,,,,,,,,,,,
126,114.38,2.11,49,1356.5,1.28,22,,,,,,,,,,,,,
127,141.02,2.52,40,1135.6,1.81,16,,,,,,,,,,,,,
128,116.07,3.46,67,1141.5,1.47,32,,,,,,,,,,,,,
129,76.98,1.34,58,1132.5,1.69,2,,,,,,,,,,,,,
130,76.42,0.48,22,1723,1.13,8,,,,,,,,,,,,,
131,118.92,2.26,50,1362.4,1.15,22,,,,,,,,,,,,,
132,123.61,3.78,80,1608.1,0.85,36,,,,,,,,,,,,,
133,160.87,3.14,57,1477.7,1.29,26,,,,,,,,,,,,,
134,179.29,5.58,46,2000.7,0.45,21,,,,,,,,,,,,,
135,107.88,1.89,35,1876.1,0.72,18,,,,,,,,,,,,,
136,63.74,1.1,61,2633.9,0.59,25,,,,,,,,,,,,,
137,63.6,0.31,46,1845.8,1.27,22,,,,,,,,,,,,,
138,74.77,0.94,52,1914.4,0.77,19,,,,,,,,,,,,,
139,124.13,2.29,56,2333.8,0.48,22,,,,,,,,,,,,,
140,112.14,1.59,78,2390.5,0.36,30,,,,,,,,,,,,,
141,103.4,1.43,37,2401.3,0.48,14,,,,,,,,,,,,,
142,108.43,1.49,59,1877.7,0.75,22,,,,,,,,,,,,,
143,151.72,2.61,63,1726.3,0.83,28,,,,,,,,,,,,,
144,218.41,7.65,67,1890.9,0.6,29,,,,,,,,,,,,,
145,235.59,7.64,86,1815.9,0.57,43,,,,,,,,,,,,,
146,251.06,8.46,65,1770.2,0.51,30,,,,,,,,,,,,,
147,243.19,5.23,80,1649.6,0.55,39,,,,,,,,,,,,,
148,172.22,7.31,79,1587,0.78,40,,,,,,,,,,,,,
149,223.99,5.54,85,1349.9,1.03,41,,,,,,,,,,,,,
150,217.62,6.53,71,1427.8,0.72,31,,,,,,,,,,,,,
151,201.69,6.53,65,1299,0.95,36,,,,,,,,,,,,,
152,217.45,6.86,76,1298.6,0.89,33,,,,,,,,,,,,,
153,169.42,3.88,93,1372.9,0.98,42,,,,,,,,,,,,,
154,201.87,7.14,68,1471,1.15,34,,,,,,,,,,,,,
155,185.44,8.56,83,1378.2,1.06,42,,,,,,,,,,,,,
156,140.89,3.44,89,1539.1,0.96,37,,,,,,,,,,,,,
157,123.13,2.9,78,1384.9,1.05,33,,,,,,,,,,,,,
158,137.27,2.64,62,1316.3,1.24,31,,,,,,,,,,,,,
159,188.91,4.41,21,1344.5,0.71,11,,,,,,,,,,,,,
160,102.57,6.11,73,1613.1,0.86,29,,,,,,,,,,,,,
161,170.58,7.15,51,1293.9,2.16,21,,,,,,,,,,,,,
162,118.73,1.58,60,1695.2,0.68,22,,,,,,,,,,,,,
163,157.53,7.09,32,1616.7,0.87,12,,,,,,,,,,,,,
164,150.27,2.51,24,1492.6,1.39,7,,,,,,,,,,,,,
165,126.61,2.85,85,2235.3,0.45,33,,,,,,,,,,,,,
166,130.36,2.16,35,2138.7,0.87,15,,,,,,,,,,,,,
167,297.91,11.5,55,1925.5,0.47,23,,,,,,,,,,,,,
168,140.84,12.21,91,2489.3,0.48,35,,,,,,,,,,,,,
169,152.59,3.86,145,2715.4,0.45,62,,,,,,,,,,,,,
170,203.16,5.18,117,2746,0.4,50,,,,,,,,,,,,,
171,257.28,7.92,241,2932.7,0.33,110,,,,,,,,,,,,,
172,542.12,40.64,214,2660.7,0.45,99,,,,,,,,,,,,,
173,337.35,20.53,143,2798.2,0.49,72,,,,,,,,,,,,,
174,233.31,12.27,194,3014,0.44,91,,,,,,,,,,,,,
175,251.32,10.89,161,3359.4,0.32,66,,,,,,,,,,,,,
176,1326.77,3637.9,111,2194.8,0.75,44,,,,,,,,,,,,,
177,127.16,9.81,75,1504.2,1.01,34,,,,,,,,,,,,,
178,169.04,3.91,50,1501.3,1.36,18,,,,,,,,,,,,,
179,224.01,8.4,93,1496.7,1.01,44,,,,,,,,,,,,,
180,189,13.47,49,1372.8,1.12,25,,,,,,,,,,,,,
181,180.2,4.95,89,1615.1,0.67,42,,,,,,,,,,,,,
182,129.35,5.39,81,1767.2,0.93,36,,,,,,,,,,,,,
183,250.9,8.33,32,1690.7,0.84,12,,,,,,,,,,,,,
184,192.46,9.02,88,1778.2,0.73,39,,,,,,,,,,,,,
185,115.13,3.25,82,1995.7,0.93,38,,,,,,,,,,,,,
186,84.33,0.7,92,2065.6,0.82,39,,,,,,,,,,,,,
187,103.91,0.94,45,2041.4,0.78,16,,,,,,,,,,,,,
188,130.38,2.03,90,2064.6,0.78,37,,,,,,,,,,,,,
189,227.32,6.6,46,2204.5,0.66,17,,,,,,,,,,,,,
190,201.55,6.44,96,2588.6,0.46,42,,,,,,,,,,,,,
191,281.96,7.62,64,2374.6,0.6,23,,,,,,,,,,,,,
192,280.69,18,174,2334,0.45,75,,,,,,,,,,,,,
193,1761.29,603.54,137,1909.6,0.7,45,,,,,,,,,,,,,
194,312.55,1222.27,67,2197.5,0.59,29,,,,,,,,,,,,,
195,240.05,13.93,93,2170.2,0.65,46,,,,,,,,,,,,,
196,96.67,1.39,54,2469.1,0.58,21,,,,,,,,,,,,,
197,193.6,4.29,212,2663.7,0.4,92,,,,,,,,,,,,,
198,222.58,5.92,223,2554.4,0.42,99,,,,,,,,,,,,,
199,220.6,6.21,121,2529.3,0.44,44,,,,,,,,,,,,,
200,248.72,8.37,80,2616.4,0.36,36,,,,,,,,,,,,,
201,198.97,10.38,145,2537.2,0.4,69,,,,,,,,,,,,,
202,225.56,6.07,56,2342.1,0.77,28,,,,,,,,,,,,,
203,310.29,19.68,84,2506.8,0.51,27,,,,,,,,,,,,,
204,319.75,15.99,94,2337.8,0.44,39,,,,,,,,,,,,,
205,270.83,11.52,140,2156.5,0.56,51,,,,,,,,,,,,,
206,213.28,11.86,222,2514.6,0.38,103,,,,,,,,,,,,,
